Drug,CircRNA
0,25
0,72
1,7
1,11
1,38
1,55
1,60
1,76
1,79
1,96
1,109
1,112
1,113
1,135
1,139
1,156
1,160
1,174
1,179
1,183
1,192
1,194
1,254
1,256
1,261
1,262
1,266
2,0
2,91
2,112
2,130
2,133
2,141
2,267
3,5
3,7
3,11
3,15
3,23
3,24
3,27
3,28
3,29
3,31
3,37
3,38
3,44
3,46
3,50
3,53
3,54
3,58
3,72
3,83
3,85
3,94
3,98
3,99
3,103
3,111
3,112
3,113
3,115
3,121
3,130
3,135
3,137
3,154
3,156
3,179
3,188
3,214
3,216
3,219
3,220
3,250
4,23
4,24
4,75
4,79
4,86
4,197
4,256
5,267
6,46
6,112
7,112
7,115
7,125
7,135
7,219
8,7
8,11
8,23
8,24
8,27
8,28
8,29
8,30
8,31
8,38
8,43
8,44
8,46
8,50
8,53
8,55
8,59
8,60
8,72
8,75
8,76
8,77
8,79
8,82
8,85
8,90
8,93
8,94
8,96
8,97
8,98
8,99
8,105
8,111
8,112
8,113
8,115
8,121
8,126
8,130
8,135
8,146
8,154
8,155
8,156
8,157
8,160
8,166
8,182
8,183
8,188
8,191
8,192
8,194
8,201
8,205
8,209
8,219
8,220
8,221
8,223
8,224
8,232
8,235
8,239
8,243
8,245
8,250
8,256
8,258
8,260
8,262
8,266
9,16
9,23
9,36
9,55
9,99
9,120
9,175
9,179
10,66
10,68
10,112
10,128
10,179
10,211
11,23
11,24
11,29
11,85
11,93
11,141
11,152
11,183
11,236
12,7
12,11
12,15
12,23
12,28
12,46
12,50
12,58
12,72
12,76
12,94
12,98
12,112
12,115
12,135
12,145
12,149
12,188
12,194
12,201
12,214
12,219
12,243
12,250
12,260
13,62
13,75
13,76
13,96
13,112
13,124
13,134
13,141
13,157
13,174
13,179
13,183
13,195
13,209
13,241
13,247
13,256
13,257
13,258
13,267
14,0
14,55
14,112
15,112
15,133
15,141
15,179
16,5
16,11
16,16
16,46
16,54
16,66
16,88
16,100
16,108
16,150
16,260
16,265
17,0
17,112
17,121
17,141
17,179
17,191
17,265
18,3
18,8
18,11
18,15
18,37
18,50
18,52
18,78
18,105
18,113
18,115
18,117
18,130
18,153
18,154
18,155
18,160
18,178
18,179
18,250
18,265
18,269
19,47
19,179
20,11
20,15
20,29
20,47
20,55
20,131
20,135
20,141
20,151
20,203
20,250
20,262
20,267
21,17
21,23
21,24
21,25
21,29
21,41
21,48
21,50
21,76
21,83
21,112
21,141
21,183
21,190
21,191
21,231
21,241
21,258
22,15
22,50
22,90
22,98
22,109
22,115
22,146
22,156
22,245
22,250
22,262
23,41
23,48
23,76
23,96
23,112
23,124
23,141
23,157
23,183
23,195
23,197
23,231
23,247
23,256
23,258
24,7
24,11
24,16
24,30
24,46
24,47
24,48
24,50
24,55
24,60
24,64
24,74
24,75
24,76
24,79
24,81
24,85
24,96
24,112
24,123
24,135
24,141
24,147
24,149
24,150
24,160
24,174
24,183
24,187
24,192
24,203
24,219
24,224
24,241
24,247
24,250
24,253
24,256
24,258
24,267
25,11
25,34
25,46
25,48
25,60
25,74
25,75
25,76
25,79
25,85
25,93
25,94
25,96
25,97
25,113
25,115
25,116
25,126
25,133
25,134
25,140
25,141
25,160
25,171
25,174
25,179
25,183
25,185
25,247
25,256
25,258
26,7
26,11
26,12
26,15
26,23
26,24
26,25
26,27
26,28
26,29
26,31
26,37
26,46
26,55
26,72
26,76
26,85
26,93
26,96
26,98
26,100
26,101
26,112
26,113
26,115
26,126
26,130
26,135
26,154
26,155
26,160
26,166
26,186
26,209
26,214
26,219
26,236
26,243
26,244
26,251
26,258
26,269
27,0
27,2
27,7
27,11
27,15
27,17
27,20
27,22
27,23
27,24
27,25
27,26
27,27
27,28
27,29
27,30
27,31
27,41
27,46
27,49
27,50
27,53
27,54
27,55
27,56
27,58
27,59
27,64
27,82
27,85
27,104
27,107
27,108
27,109
27,130
27,133
27,135
27,141
27,142
27,166
27,187
27,194
27,201
27,219
27,220
27,224
27,231
27,236
27,243
27,244
27,245
27,250
27,262
27,265
28,7
28,11
28,15
28,23
28,30
28,38
28,46
28,50
28,57
28,58
28,75
28,76
28,90
28,94
28,112
28,115
28,121
28,126
28,135
28,139
28,154
28,173
28,179
28,187
28,201
28,228
28,239
28,250
28,256
28,258
28,267
28,269
29,112
30,7
30,11
30,15
30,22
30,23
30,24
30,29
30,30
30,31
30,36
30,38
30,53
30,55
30,56
30,77
30,82
30,85
30,88
30,112
30,113
30,115
30,117
30,135
30,144
30,154
30,188
30,201
30,205
30,219
30,228
30,229
30,236
30,239
30,243
30,250
30,262
31,24
31,27
31,37
31,46
31,50
31,75
31,90
31,94
31,115
31,130
31,154
31,169
31,219
31,231
31,249
31,251
31,256
32,154
33,11
33,46
33,50
33,112
33,115
33,179
34,47
34,252
35,11
35,49
35,55
35,112
35,139
35,219
35,250
35,256
36,7
36,15
36,23
36,24
36,25
36,27
36,29
36,30
36,35
36,48
36,50
36,56
36,58
36,76
36,83
36,109
36,135
36,141
36,154
36,173
36,177
36,183
36,219
36,231
36,236
36,250
36,269
37,141
38,223
39,16
39,65
39,102
40,47
40,168
40,236
40,242
40,261
41,11
41,15
41,44
41,46
41,50
41,72
41,76
41,78
41,80
41,98
41,100
41,115
41,121
41,130
41,135
41,154
41,179
41,188
41,192
41,201
41,213
41,214
41,220
41,269
42,30
42,55
42,66
42,100
42,135
42,144
42,165
42,212
42,241
42,267
43,141
44,11
44,46
44,76
44,183
44,212
45,8
45,34
45,46
45,94
45,113
45,115
45,160
45,174
45,179
45,183
45,221
46,2
46,7
46,15
46,23
46,24
46,27
46,29
46,30
46,31
46,41
46,48
46,56
46,58
46,74
46,76
46,83
46,109
46,120
46,130
46,135
46,141
46,144
46,178
46,182
46,183
46,210
46,219
46,231
46,236
46,250
46,258
46,262
47,112
47,124
48,5
48,11
48,46
48,50
48,94
48,115
48,217
48,219
48,247
49,2
49,7
49,23
49,24
49,30
49,49
49,56
49,135
49,141
49,200
49,236
49,262
50,5
50,7
50,11
50,12
50,22
50,24
50,27
50,37
50,44
50,46
50,50
50,53
50,54
50,56
50,60
50,72
50,74
50,76
50,85
50,94
50,98
50,103
50,115
50,121
50,130
50,135
50,166
50,173
50,194
50,201
50,214
50,219
50,220
50,223
50,236
50,250
51,7
51,10
51,11
51,32
51,38
51,45
51,50
51,55
51,75
51,76
51,77
51,85
51,92
51,93
51,96
51,98
51,100
51,105
51,112
51,113
51,115
51,123
51,135
51,146
51,150
51,154
51,187
51,192
51,219
51,239
51,256
51,262
51,266
51,267
52,55
52,112
52,139
52,179
52,254
53,3
53,7
53,11
53,23
53,26
53,29
53,30
53,31
53,38
53,46
53,49
53,50
53,53
53,55
53,56
53,58
53,75
53,76
53,78
53,79
53,85
53,86
53,93
53,112
53,113
53,115
53,117
53,126
53,135
53,150
53,154
53,187
53,188
53,194
53,219
53,224
53,239
53,243
53,250
53,256
53,262
53,266
53,267
54,11
54,62
54,135
54,141
54,151
54,154
54,219
55,14
55,105
55,267
56,94
56,112
56,128
56,133
57,15
57,105
57,135
57,154
57,186
57,250
58,112
58,149
58,228
58,266
59,11
59,15
59,28
59,30
59,39
59,47
59,50
59,55
59,76
59,105
59,135
59,151
59,182
59,186
59,192
59,194
59,219
59,239
59,250
59,256
59,266
60,24
60,27
60,29
60,31
60,37
60,90
60,94
60,112
60,115
60,130
60,154
60,156
60,219
60,221
61,47
61,68
61,112
61,179
61,261
62,11
62,50
62,112
62,115
62,125
62,135
62,219
63,65
63,147
63,220
64,50
64,94
64,113
64,115
64,118
64,141
64,179
64,183
65,85
65,141
65,183
65,188
65,191
65,220
65,243
66,112
66,135
66,141
66,219
67,2
67,7
67,11
67,15
67,23
67,24
67,25
67,27
67,28
67,29
67,30
67,31
67,41
67,46
67,49
67,50
67,53
67,55
67,56
67,58
67,64
67,82
67,85
67,88
67,96
67,108
67,115
67,130
67,135
67,137
67,141
67,146
67,150
67,152
67,154
67,163
67,166
67,168
67,172
67,180
67,188
67,198
67,200
67,201
67,216
67,219
67,224
67,231
67,236
67,262
68,94
68,252
68,265
69,7
69,11
69,23
69,24
69,27
69,28
69,29
69,31
69,46
69,53
69,62
69,63
69,72
69,78
69,85
69,90
69,94
69,100
69,112
69,113
69,115
69,121
69,130
69,135
69,154
69,155
69,175
69,179
69,191
69,194
69,214
69,219
69,234
69,266
70,5
70,15
70,23
70,24
70,27
70,37
70,47
70,74
70,79
70,90
70,115
70,130
70,139
70,154
70,256
70,257
71,23
71,24
71,25
71,60
71,75
71,76
71,141
71,157
71,183
71,191
71,241
71,256
71,257
71,258
72,7
72,11
72,12
72,15
72,19
72,23
72,29
72,31
72,37
72,38
72,46
72,55
72,56
72,58
72,72
72,74
72,76
72,78
72,82
72,85
72,93
72,94
72,98
72,100
72,112
72,115
72,130
72,135
72,154
72,157
72,175
72,179
72,188
72,194
72,206
72,219
72,236
72,239
72,247
72,250
72,258
72,266
73,2
73,5
73,7
73,11
73,23
73,24
73,25
73,27
73,29
73,30
73,31
73,36
73,38
73,46
73,49
73,50
73,55
73,56
73,59
73,60
73,64
73,72
73,75
73,79
73,81
73,82
73,85
73,87
73,90
73,98
73,104
73,105
73,108
73,112
73,113
73,117
73,135
73,139
73,141
73,143
73,145
73,154
73,155
73,156
73,157
73,166
73,178
73,184
73,188
73,191
73,194
73,201
73,219
73,220
73,224
73,228
73,232
73,236
73,243
73,244
73,250
73,256
73,262
73,266
73,267
73,269
74,41
74,48
74,72
74,74
74,75
74,76
74,96
74,110
74,115
74,141
74,174
74,179
74,183
74,247
74,258
74,261
75,7
75,11
75,23
75,24
75,29
75,38
75,46
75,52
75,72
75,74
75,76
75,82
75,85
75,94
75,98
75,106
75,108
75,112
75,115
75,121
75,135
75,194
75,201
75,214
75,219
75,220
75,250
75,260
75,269
76,7
76,11
76,12
76,15
76,23
76,38
76,43
76,44
76,46
76,48
76,55
76,57
76,58
76,60
76,62
76,66
76,72
76,74
76,75
76,76
76,79
76,82
76,85
76,96
76,101
76,112
76,113
76,115
76,117
76,121
76,126
76,134
76,135
76,141
76,149
76,150
76,154
76,160
76,174
76,179
76,181
76,183
76,188
76,191
76,192
76,194
76,201
76,210
76,211
76,214
76,219
76,220
76,221
76,232
76,235
76,243
76,245
76,247
76,250
76,256
76,257
76,258
76,262
76,266
76,269
77,15
77,23
77,24
77,25
77,27
77,29
77,30
77,31
77,48
77,58
77,60
77,74
77,76
77,83
77,130
77,135
77,141
77,154
77,183
77,219
77,231
77,247
77,258
77,261
77,266
78,7
78,11
78,34
78,60
78,62
78,79
78,85
78,112
78,119
78,145
78,157
78,184
78,188
78,191
78,192
78,194
78,262
78,265
78,266
78,267
79,5
79,7
79,11
79,12
79,16
79,22
79,24
79,27
79,29
79,38
79,43
79,46
79,50
79,53
79,55
79,59
79,60
79,66
79,70
79,72
79,74
79,75
79,76
79,77
79,81
79,85
79,92
79,94
79,96
79,97
79,98
79,99
79,103
79,105
79,109
79,111
79,112
79,113
79,115
79,121
79,128
79,130
79,134
79,135
79,149
79,154
79,155
79,156
79,179
79,188
79,194
79,201
79,214
79,219
79,220
79,228
79,232
79,236
79,243
79,250
79,256
79,258
79,260
79,266
80,5
80,7
80,11
80,12
80,16
80,22
80,24
80,27
80,29
80,31
80,38
80,44
80,46
80,50
80,53
80,55
80,59
80,60
80,70
80,72
80,74
80,76
80,79
80,85
80,92
80,94
80,96
80,97
80,98
80,99
80,103
80,105
80,109
80,111
80,112
80,115
80,121
80,130
80,134
80,135
80,149
80,150
80,154
80,155
80,179
80,188
80,194
80,201
80,214
80,216
80,219
80,220
80,223
80,232
80,243
80,250
80,256
80,258
80,260
80,269
81,252
82,3
82,7
82,11
82,15
82,23
82,24
82,27
82,29
82,30
82,31
82,38
82,46
82,50
82,53
82,55
82,56
82,81
82,82
82,83
82,85
82,99
82,101
82,104
82,105
82,108
82,115
82,126
82,130
82,135
82,151
82,154
82,175
82,192
82,219
82,224
82,229
82,236
82,239
82,243
82,250
82,255
82,256
82,266
83,135
83,219
83,220
84,11
84,38
84,46
84,72
84,74
84,76
84,85
84,94
84,112
84,134
84,170
84,179
84,183
84,194
84,202
84,204
84,220
84,230
84,232
84,247
84,258
85,7
85,11
85,12
85,15
85,23
85,24
85,27
85,28
85,29
85,31
85,37
85,38
85,46
85,50
85,52
85,53
85,55
85,56
85,74
85,76
85,78
85,82
85,85
85,90
85,92
85,94
85,98
85,99
85,100
85,106
85,112
85,115
85,130
85,135
85,139
85,154
85,157
85,182
85,194
85,201
85,214
85,216
85,219
85,220
85,243
85,245
85,250
85,258
85,262
86,7
86,11
86,38
86,46
86,49
86,60
86,62
86,64
86,76
86,79
86,81
86,82
86,91
86,109
86,112
86,119
86,135
86,139
86,145
86,151
86,157
86,160
86,166
86,173
86,178
86,179
86,183
86,184
86,186
86,188
86,192
86,194
86,220
86,243
86,251
86,262
86,265
86,266
86,267
86,269
87,7
87,15
87,23
87,24
87,25
87,27
87,29
87,30
87,31
87,41
87,55
87,56
87,84
87,130
87,135
87,141
87,187
87,200
87,219
87,239
87,250
88,41
88,109
88,112
88,115
88,188
88,207
89,17
89,24
89,29
89,48
89,75
89,76
89,91
89,96
89,102
89,109
89,116
89,119
89,130
89,138
89,141
89,146
89,178
89,183
89,184
89,210
89,212
89,247
89,256
89,258
89,262
90,5
90,7
90,11
90,15
90,23
90,46
90,50
90,78
90,90
90,100
90,113
90,115
90,130
90,135
90,154
90,179
90,194
90,209
90,219
90,238
91,23
91,76
91,79
91,130
91,141
91,174
91,183
91,256
92,5
92,7
92,11
92,37
92,38
92,43
92,46
92,48
92,50
92,60
92,74
92,76
92,79
92,82
92,94
92,98
92,100
92,112
92,115
92,135
92,145
92,157
92,160
92,166
92,170
92,179
92,183
92,192
92,194
92,201
92,214
92,219
92,220
92,245
92,258
92,269
93,7
93,11
93,15
93,19
93,23
93,24
93,29
93,34
93,38
93,46
93,50
93,66
93,72
93,74
93,76
93,82
93,83
93,85
93,90
93,94
93,98
93,99
93,100
93,108
93,109
93,112
93,115
93,130
93,134
93,135
93,154
93,160
93,188
93,193
93,194
93,201
93,202
93,212
93,214
93,216
93,219
93,220
93,232
93,236
93,243
93,247
93,269
94,11
94,135
94,151
94,154
95,7
95,23
95,75
95,96
95,112
95,135
95,154
95,160
95,179
95,183
95,186
95,256
96,28
96,51
96,112
96,135
96,136
96,230
96,262
97,11
97,46
97,63
97,72
97,75
97,112
97,179
97,183
97,190
98,2
98,7
98,11
98,19
98,22
98,23
98,24
98,29
98,31
98,40
98,41
98,42
98,46
98,49
98,50
98,55
98,59
98,78
98,85
98,90
98,98
98,113
98,115
98,120
98,135
98,141
98,146
98,154
98,178
98,201
98,219
98,236
98,239
98,243
98,250
98,262
99,14
99,263
100,7
100,11
100,33
100,46
100,50
100,76
100,112
100,134
100,139
100,151
100,192
100,194
100,201
100,256
100,260
100,267
101,7
101,11
101,15
101,23
101,24
101,25
101,27
101,28
101,29
101,31
101,37
101,46
101,52
101,53
101,56
101,58
101,66
101,83
101,90
101,93
101,94
101,98
101,110
101,111
101,112
101,115
101,121
101,125
101,126
101,130
101,135
101,139
101,141
101,154
101,169
101,194
101,216
101,219
101,232
101,236
101,243
101,262
102,7
102,11
102,23
102,29
102,30
102,31
102,38
102,58
102,89
102,112
102,113
102,117
102,130
102,131
102,135
102,141
102,148
102,150
102,153
102,154
102,188
102,219
102,228
102,248
102,250
102,262
103,11
103,24
103,28
103,29
103,30
103,38
103,46
103,55
103,60
103,66
103,72
103,76
103,82
103,85
103,94
103,99
103,100
103,106
103,108
103,112
103,135
103,145
103,188
103,194
103,201
103,219
103,220
103,236
103,243
103,260
104,6
104,64
104,66
104,72
104,100
104,124
104,132
104,143
104,145
104,157
104,188
104,220
104,230
104,232
104,243
104,257
104,265
104,270
105,133
105,169
106,5
106,7
106,11
106,46
106,48
106,60
106,72
106,74
106,76
106,79
106,92
106,94
106,112
106,115
106,135
106,157
106,170
106,175
106,179
106,183
106,194
106,219
106,220
106,224
106,232
106,247
106,256
106,258
107,23
107,24
107,25
107,27
107,29
107,48
107,60
107,74
107,75
107,76
107,79
107,96
107,134
107,141
107,160
107,171
107,174
107,183
107,241
107,247
107,256
107,258
108,16
108,30
108,47
108,55
108,64
108,135
108,157
108,219
108,250
108,256
108,267
109,15
109,19
109,23
109,24
109,25
109,27
109,28
109,29
109,31
109,41
109,56
109,105
109,115
109,135
109,141
109,154
109,219
109,239
109,250
110,7
110,11
110,16
110,21
110,29
110,31
110,37
110,40
110,46
110,55
110,57
110,60
110,62
110,64
110,76
110,79
110,82
110,85
110,92
110,106
110,112
110,135
110,145
110,146
110,154
110,157
110,174
110,182
110,184
110,188
110,192
110,194
110,211
110,219
110,220
110,228
110,243
110,256
110,257
110,262
110,266
111,7
111,10
111,11
111,12
111,22
111,30
111,38
111,43
111,45
111,46
111,47
111,48
111,50
111,55
111,57
111,59
111,60
111,64
111,67
111,73
111,74
111,75
111,76
111,77
111,79
111,81
111,85
111,86
111,93
111,96
111,106
111,112
111,113
111,122
111,123
111,124
111,134
111,135
111,141
111,147
111,150
111,160
111,174
111,183
111,187
111,188
111,192
111,194
111,208
111,219
111,220
111,226
111,241
111,247
111,256
111,258
111,261
111,266
111,268
112,46
112,74
112,94
112,100
112,113
113,50
113,135
113,154
113,219
113,220
114,112
114,167
115,7
115,11
115,23
115,50
115,55
115,77
115,135
115,146
115,154
115,172
115,208
115,220
115,224
115,266
116,7
116,11
